ticker,market,isin,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
ASIT.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
AEWU.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
APTD.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
ATS.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
ROOF.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
AUGM.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
BGEU.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
BGS.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
CABP.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
CPI.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
CAPD.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
CNE.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
CARD.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
CLIG.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
CLI.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
CYN.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
CTPE.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
CREI.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
DFS.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
DGI9.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
ENQ.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
EVOK.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
FAS.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
FJV.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
FSF.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
FORT.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
FOXT.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
FSTA.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
GMS.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
HFD.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
HEAD.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
HLCL.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
BOOT.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
HSW.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
FSJ.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
JZCP.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
KMR.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
LTI.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
LIO.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
LWI.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
LSL.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
LUCE.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
MACF.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
MAJE.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
MARS.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
MER.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
MWY.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
GLE.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
MMIT.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
MOTR.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
NRR.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
NXR.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
OCN.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
OTB.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
PCA.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
PDL.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
PHAR.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
PSDL.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
PRV.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
RCH.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
REC.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
RSE.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
RWA.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
SUS.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
SBRE.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
SCF.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
INOV.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
STB.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
SFR.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
SHI.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
SNWS.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
SDY.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
SWEF.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
SEC.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
STVG.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
SYNT.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
GYM.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
TPT.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
TET.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
TRI.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
TTG.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
ULTP.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
VANQ.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
VID.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
XAR.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
ZTF.L,ftse_smallcap,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
